20,1.05,1.31,2.24,3.29,6.2,18.71,-0.2
20,1.13,1.41,2.4,3.53,6.66,20.06,-0.15
20,1.21,1.51,2.57,3.79,7.15,21.49,-0.1
20,1.3,1.62,2.76,4.07,7.68,23.08,-0.05
20,1.39,1.74,2.97,4.37,8.25,24.92,0
20,1.44,1.81,3.08,4.53,8.55,25.8,0.025
20,1.5,1.87,3.19,4.7,8.87,26.75,0.05
20,1.55,1.94,3.31,4.87,9.19,27.68,0.075
20,1.61,2.02,3.43,5.05,9.52,28.68,0.1
20,1.67,2.09,3.56,5.23,9.87,29.63,0.125
20,1.73,2.17,3.69,5.43,10.23,30.68,0.15
20,1.8,2.25,3.83,5.63,10.6,31.83,0.175
20,1.86,2.33,3.97,5.84,10.99,32.96,0.2
20,1.93,2.42,4.12,6.05,11.38,34.06,0.225
20,2.01,2.51,4.27,6.28,11.8,35.18,0.25
20,2.08,2.61,4.44,6.51,12.23,36.47,0.275
20,2.16,2.71,4.6,6.75,12.67,37.74,0.3
20,2.24,2.81,4.77,7,13.13,39.13,0.325
20,2.33,2.92,4.95,7.26,13.6,40.46,0.35
20,2.42,3.03,5.14,7.53,14.07,41.82,0.375
20,2.51,3.14,5.33,7.8,14.56,43.13,0.4
20,2.6,3.26,5.52,8.08,15.07,44.45,0.425
20,2.7,3.38,5.73,8.37,15.58,45.81,0.45
20,2.8,3.51,5.93,8.67,16.1,47.2,0.475
20,2.91,3.64,6.14,8.97,16.63,48.32,0.5
20,3.01,3.77,6.36,9.28,17.17,49.56,0.525
20,3.12,3.9,6.58,9.59,17.7,50.95,0.55
20,3.23,4.03,6.8,9.9,18.23,52.25,0.575
20,3.34,4.17,7.02,10.21,18.75,53.52,0.6
20,3.45,4.3,7.24,10.52,19.27,54.61,0.625
20,3.55,4.44,7.46,10.83,19.79,55.62,0.65
20,3.66,4.57,7.68,11.13,20.26,56.38,0.675
20,3.76,4.7,7.88,11.42,20.73,57.15,0.7
20,3.86,4.82,8.08,11.69,21.16,57.69,0.725
20,3.95,4.93,8.27,11.94,21.57,58.43,0.75
20,4.03,5.03,8.43,12.17,21.94,58.96,0.775
20,4.1,5.12,8.57,12.37,22.23,59.37,0.8
20,4.16,5.19,8.69,12.53,22.48,59.74,0.825
20,4.2,5.24,8.78,12.66,22.67,60,0.85
20,4.22,5.27,8.83,12.74,22.79,60.04,0.875
20,4.22,5.28,8.85,12.77,22.84,60.2,0.9
20,4.21,5.26,8.84,12.77,22.85,59.86,0.925
20,4.18,5.24,8.81,12.73,22.83,59.86,0.95
20,4.16,5.21,8.78,12.69,22.78,60.09,0.975
25,2.93,3.32,4.55,5.85,9.18,21.75,-0.2
25,3.15,3.57,4.9,6.31,9.92,23.5,-0.15
25,3.38,3.83,5.28,6.81,10.71,25.32,-0.1
25,3.63,4.12,5.69,7.34,11.57,27.44,-0.05
25,3.9,4.43,6.13,7.92,12.51,29.63,0
25,4.04,4.6,6.37,8.23,13.01,30.84,0.025
25,4.19,4.77,6.62,8.56,13.53,32.13,0.05
25,4.35,4.95,6.87,8.9,14.07,33.47,0.075
25,4.51,5.14,7.14,9.25,14.64,34.8,0.1
25,4.68,5.34,7.42,9.62,15.23,36.23,0.125
25,4.86,5.54,7.72,10.01,15.85,37.62,0.15
25,5.05,5.76,8.03,10.41,16.5,39.13,0.175
25,5.25,5.99,8.35,10.84,17.18,40.72,0.2
25,5.45,6.22,8.69,11.28,17.89,42.29,0.225
25,5.67,6.47,9.05,11.75,18.63,43.95,0.25
25,5.89,6.74,9.42,12.24,19.41,45.87,0.275
25,6.13,7.01,9.82,12.75,20.23,47.75,0.3
25,6.38,7.3,10.23,13.29,21.08,49.77,0.325
25,6.65,7.61,10.66,13.86,21.97,51.76,0.35
25,6.92,7.93,11.11,14.45,22.9,53.98,0.375
25,7.22,8.26,11.59,15.07,23.86,56.23,0.4
25,7.53,8.62,12.09,15.72,24.87,58.32,0.425
25,7.85,8.99,12.62,16.4,25.91,60.64,0.45
25,8.19,9.38,13.17,17.11,26.99,62.72,0.475
25,8.55,9.79,13.74,17.85,28.1,65.16,0.5
25,8.93,10.23,14.34,18.61,29.25,67.44,0.525
25,9.32,10.67,14.96,19.41,30.42,69.76,0.55
25,9.73,11.15,15.61,20.23,31.64,72.09,0.575
25,10.16,11.63,16.27,21.07,32.88,74.67,0.6
25,10.61,12.14,16.96,21.93,34.13,76.88,0.625
25,11.07,12.66,17.66,22.81,35.37,78.97,0.65
25,11.54,13.2,18.38,23.69,36.6,80.98,0.675
25,12.02,13.74,19.1,24.58,37.82,82.86,0.7
25,12.5,14.28,19.82,25.46,39.02,84.77,0.725
25,12.98,14.81,20.52,26.3,40.18,86.76,0.75
25,13.45,15.33,21.19,27.11,41.26,88.96,0.775
25,13.9,15.83,21.83,27.87,42.25,90.19,0.8
25,14.31,16.29,22.42,28.56,43.12,91.13,0.825
25,14.68,16.69,22.92,29.15,43.85,92.32,0.85
25,14.99,17.03,23.34,29.63,44.41,92.79,0.875
25,15.23,17.29,23.65,29.98,44.82,93.13,0.9
25,15.38,17.46,23.85,30.2,45.02,93.46,0.925
25,15.47,17.54,23.93,30.31,45.14,93.64,0.95
25,15.49,17.56,23.95,30.31,45.15,93.52,0.975
30,3.53,3.93,5.2,6.5,9.75,21.39,-0.2
30,3.8,4.24,5.62,7.04,10.56,23.18,-0.15
30,4.1,4.58,6.08,7.62,11.45,25.18,-0.1
30,4.42,4.95,6.58,8.26,12.42,27.33,-0.05
30,4.78,5.34,7.12,8.95,13.48,29.64,0
30,4.96,5.56,7.41,9.32,14.06,30.89,0.025
30,5.16,5.78,7.72,9.71,14.66,32.17,0.05
30,5.36,6.01,8.03,10.12,15.28,33.62,0.075
30,5.58,6.25,8.37,10.55,15.94,35.05,0.1
30,5.8,6.51,8.72,11,16.63,36.58,0.125
30,6.04,6.78,9.09,11.47,17.36,38.15,0.15
30,6.29,7.06,9.48,11.97,18.13,39.81,0.175
30,6.55,7.36,9.89,12.49,18.93,41.58,0.2
30,6.83,7.67,10.32,13.04,19.79,43.41,0.225
30,7.12,8,10.78,13.63,20.68,45.29,0.25
30,7.43,8.35,11.26,14.24,21.62,47.4,0.275
30,7.75,8.72,11.77,14.9,22.62,49.63,0.3
30,8.1,9.12,12.32,15.59,23.67,51.91,0.325
30,8.46,9.53,12.89,16.32,24.79,54.32,0.35
30,8.85,9.97,13.49,17.09,25.97,56.86,0.375
30,9.26,10.44,14.14,17.92,27.22,59.59,0.4
30,9.7,10.94,14.82,18.79,28.53,62.18,0.425
30,10.17,11.47,15.55,19.71,29.92,64.97,0.45
30,10.67,12.04,16.33,20.69,31.38,67.9,0.475
30,11.2,12.64,17.15,21.73,32.92,70.92,0.5
30,11.76,13.29,18.02,22.83,34.55,74.28,0.525
30,12.37,13.97,18.95,24,36.25,77.41,0.55
30,13.01,14.7,19.94,25.23,38.03,80.94,0.575
30,13.7,15.48,20.98,26.52,39.88,84.17,0.6
30,14.43,16.3,22.08,27.88,41.8,87.81,0.625
30,15.21,17.17,23.24,29.3,43.79,91.4,0.65
30,16.03,18.1,24.45,30.78,45.81,95.1,0.675
30,16.89,19.06,25.72,32.3,47.89,99.07,0.7
30,17.8,20.07,27.01,33.86,49.96,102.38,0.725
30,18.73,21.12,28.34,35.44,52.05,105.95,0.75
30,19.69,22.18,29.68,37.01,54.11,109.03,0.775
30,20.66,23.25,31.02,38.55,56.06,111.99,0.8
30,21.63,24.3,32.31,40.03,57.92,114.81,0.825
30,22.56,25.32,33.52,41.42,59.58,116.67,0.85
30,23.43,26.26,34.63,42.66,61.08,118.21,0.875
30,24.2,27.08,35.59,43.71,62.33,120.02,0.9
30,24.84,27.76,36.36,44.54,63.21,121.18,0.925
30,25.32,28.26,36.9,45.09,63.82,122.14,0.95
30,25.6,28.56,37.19,45.39,64.12,122.12,0.975
35,3.81,4.22,5.49,6.79,9.94,20.74,-0.2
35,4.12,4.57,5.95,7.36,10.8,22.6,-0.15
35,4.46,4.94,6.45,7.99,11.74,24.59,-0.1
35,4.82,5.35,7,8.68,12.77,26.82,-0.05
35,5.22,5.8,7.6,9.43,13.9,29.21,0
